BPR1,BPR2,PR_HPC,PR_IPC,PR_LPC,TIT,TSCOR,TSF,TSFC,TSNoxR,SFC
0.1971,0.1971,5.695,4.404,4.081,2007,0.02994,167.9,72.99,0.1324,0.08758
0.1971,0.1971,5.693,4.403,4.081,2006,0.02993,168.3,72.87,0.1322,0.08744
0.197,0.197,5.692,4.402,4.08,2006,0.02992,168.6,72.75,0.132,0.0873
0.197,0.197,5.691,4.401,4.079,2006,0.02991,168.9,72.63,0.1318,0.08716
0.1969,0.1969,5.689,4.4,4.078,2006,0.0299,169.2,72.52,0.1315,0.08702
0.05,0.5283,8.101,2,7.202,2183,0.023,177.4,72.86,0.1313,0.08743
0.1969,0.1969,5.688,4.399,4.077,2006,0.02989,169.5,72.4,0.1313,0.08688
0.1968,0.1968,5.687,4.399,4.077,2006,0.02988,169.8,72.28,0.1311,0.08674
0.1967,0.1967,5.686,4.398,4.076,2006,0.02987,170.1,72.17,0.1309,0.0866
0.1967,0.1967,5.684,4.397,4.075,2006,0.02986,170.4,72.05,0.1307,0.08646
0.1966,0.1966,5.683,4.396,4.074,2006,0.02985,170.7,71.94,0.1305,0.08633
0.1966,0.1966,5.682,4.395,4.073,2006,0.02984,171,71.82,0.1303,0.08619
0.1965,0.1965,5.68,4.394,4.073,2005,0.02983,171.4,71.71,0.1301,0.08605
0.1964,0.1964,5.679,4.393,4.072,2005,0.02982,171.7,71.6,0.1299,0.08592
0.1964,0.1964,5.678,4.392,4.071,2005,0.02981,172,71.49,0.1297,0.08578
0.1963,0.1963,5.676,4.391,4.07,2005,0.0298,172.3,71.37,0.1295,0.08565
0.1963,0.1963,5.675,4.39,4.069,2005,0.02979,172.6,71.26,0.1293,0.08551
0.05,0.5255,8.091,2,7.182,2182,0.02282,180.7,71.7,0.1292,0.08604
0.1962,0.1962,5.674,4.39,4.069,2005,0.02978,172.9,71.15,0.1291,0.08538
0.1962,0.1962,5.673,4.389,4.068,2005,0.02978,173.2,71.04,0.1289,0.08525
0.1961,0.1961,5.671,4.388,4.067,2005,0.02977,173.5,70.93,0.1287,0.08512
0.196,0.196,5.67,4.387,4.066,2005,0.02976,173.8,70.82,0.1285,0.08498
0.196,0.196,5.669,4.386,4.065,2005,0.02975,174.1,70.71,0.1283,0.08485
0.1959,0.1959,5.667,4.385,4.065,2005,0.02974,174.4,70.6,0.1281,0.08472
0.1959,0.1959,5.666,4.384,4.064,2004,0.02973,174.7,70.49,0.1279,0.08459
0.1958,0.1958,5.665,4.383,4.063,2004,0.02973,175,70.39,0.1278,0.08446
0.1958,0.1958,5.663,4.382,4.062,2004,0.02972,175.4,70.28,0.1276,0.08434
0.1957,0.1957,5.662,4.381,4.061,2004,0.02971,175.7,70.17,0.1274,0.08421
0.05,0.5226,8.081,2,7.162,2181,0.02265,184,70.6,0.1273,0.08472
0.1956,0.1956,5.661,4.381,4.061,2004,0.0297,176,70.07,0.1272,0.08408
0.1956,0.1956,5.66,4.38,4.06,2004,0.0297,176.3,69.96,0.127,0.08395
0.1955,0.1955,5.658,4.379,4.059,2004,0.02969,176.6,69.85,0.1268,0.08383
0.1955,0.1955,5.657,4.378,4.058,2004,0.02968,176.9,69.75,0.1266,0.0837
